Country,EV_sales_share,EV_stock_share,EV_stock,Public_slow_chargers,Public_fast_chargers,Population,Population_year,GDP_per_capita_PPP,GDP_per_capita_PPP_year,Electric_power_consumption,Electric_power_consumption_year,Low_carbon_electricity_share,Low_carbon_electricity_share_year,Renewable_installed_capacity_share,Renewable_generation_share,Total_public_chargers,EV_stock_per_1000_people,Total_public_chargers_per_1000_EVs,Slow_chargers_per_100000_people,Fast_chargers_per_100000_people
Latvia,12.0,2.7,240483.0,12000.0,4400.0,1866124.0,2024.0,37611.6699359404,2024.0,3767.70246778885,2024.0,73.45972,2024.0,66.29866356769321,71.6,16400.0,128.8676422359929,68.19608870481488,643.0440849589845,235.78283115162765
Lithuania,12.0,2.7,240483.0,12000.0,4400.0,2888278.0,2024.0,47165.3665643051,2024.0,4387.04307549343,2024.0,84.303116,2024.0,62.19789023901723,90.65,16400.0,83.26172203645217,68.19608870481488,415.4724718326975,152.33990633865577
Malaysia,3.6,0.5,62003.0,710.0,1300.0,35557673.0,2024.0,34116.2317848885,2024.0,5083.71249369916,2023.0,20.366444,2024.0,24.298873579144537,19.62,2010.0,1.743730530397757,32.41778623614986,1.9967560869351604,3.65603227185311
Mexico,2.2,0.3,68000.0,1600.0,250.0,130861007.0,2024.0,22039.6287019016,2024.0,2658.04923845649,2024.0,24.581902,2024.0,34.17746939923084,19.07,1850.0,0.519635310463414,27.205882352941178,1.222671318737445,0.1910423935527258
Netherlands,48.0,11.0,980710.0,180000.0,8000.0,17993485.0,2024.0,70498.8840396071,2024.0,6386.36706563515,2024.0,53.65814,2024.0,59.57014420653888,53.03,188000.0,54.50361616996374,191.6978515565254,1000.3620754956586,44.46053668869594
New Zealand,11.0,3.3,113038.0,340.0,1100.0,5287500.0,2024.0,49316.3999433708,2024.0,7992.62411347518,2024.0,85.98046,2024.0,78.59992745738121,85.99,1440.0,21.378345153664302,12.739078893823317,6.430260047281323,20.803782505910167
Norway,92.0,32.0,960230.0,18000.0,13000.0,5572279.0,2024.0,91105.246799623,2024.0,23673.0788246604,2024.0,98.60607,2024.0,95.35648904062144,99.39,31000.0,172.32267084975464,32.28393197463108,323.0276158103354,233.2977225296867
Poland,5.7,1.1,119220.0,6200.0,3000.0,36559233.0,2024.0,45153.0439773281,2024.0,4369.59385882083,2024.0,31.146875,2024.0,48.17567165068208,29.81,9200.0,3.261009332444146,77.16826035900017,16.958780289509903,8.205861430408017
Portugal,33.0,4.2,240003.0,9300.0,3800.0,10694681.0,2024.0,42197.2025135828,2024.0,5293.84653922824,2024.0,85.19145,2024.0,62.45629863538965,87.35,13100.0,22.441342570199147,54.5826510501952,86.95911547057833,35.53168159012878
Romania,6.5,2.7,240483.0,12000.0,4400.0,19051804.0,2024.0,40504.0002945958,2024.0,2585.27043246593,2023.0,67.204094,2024.0,66.39723912451186,52.06,16400.0,12.622584192027169,68.19608870481488,62.986161310498474,23.09492581384944
Russia,2.9,0.096,42000.0,4900.0,5700.0,143533851.0,2024.0,41704.7109375,2024.0,7285.35211230393,2023.0,35.935368,2024.0,18.173956883052707,19.63,10600.0,0.2926139005355608,252.38095238095238,3.4138288395815426,3.9711886501254674
