Country,EV_sales_share,EV_stock_share,EV_stock_per_1000_people,Total_public_chargers_per_1000_EVs,Slow_chargers_per_100000_people,Fast_chargers_per_100000_people,GDP_per_capita_PPP,Electric_power_consumption,Low_carbon_electricity_share,Renewable_installed_capacity_share,Renewable_generation_share
Norway,92.0,32.0,172.32267084975464,32.28393197463108,323.0276158103354,233.2977225296867,91105.246799623,23673.0788246604,98.60607,95.35648904062144,99.39
Poland,5.7,1.1,3.261009332444146,77.16826035900017,16.958780289509903,8.205861430408017,45153.0439773281,4369.59385882083,31.146875,48.17567165068208,29.81
Portugal,33.0,4.2,22.441342570199147,54.5826510501952,86.95911547057833,35.53168159012878,42197.2025135828,5293.84653922824,85.19145,62.45629863538965,87.35
Romania,6.5,2.7,12.622584192027169,68.19608870481488,62.986161310498474,23.09492581384944,40504.0002945958,2585.27043246593,67.204094,66.39723912451186,52.06
Russia,2.9,0.096,0.2926139005355608,252.38095238095238,3.4138288395815426,3.9711886501254674,41704.7109375,7285.35211230393,35.935368,18.173956883052707,19.63
Slovakia,4.8,2.7,44.35262627605808,68.19608870481488,221.31772944977277,81.14983413158335,40319.0547230873,4674.59930886162,85.80623,32.5826371231384,23.87
Slovenia,8.1,2.7,113.04080097771927,68.19608870481488,564.0688163956003,206.82523267838678,48648.9078834081,6449.65685813669,76.06224,50.048856752003125,43.65
South Africa,0.61,0.066,0.07972542208424188,74.46600039192631,0.2968416656085824,0.2968416656085824,13597.6538495998,3247.14853342661,15.663381,17.548285376428854,13.17
Spain,11.0,1.8,9.212787857398457,91.10422768057525,57.31968251446708,26.612709738859714,48460.2914069661,5196.11110519718,76.745926,66.1359967248318,56.82
Sweden,58.0,13.0,63.393419818842695,66.56219685098128,359.5179394248224,62.4425894790481,62978.9390459835,12226.2590199976,98.791756,74.0063900007022,70.38
Switzerland,28.0,7.3,37.78212224373728,56.42909625275533,166.56336036915772,46.637740903364154,82286.1801896488,7117.25238857411,98.098755,43.05589202284133,70.82
Thailand,13.0,1.2,3.139475992992187,59.55555555555556,6.5580165186947905,12.139307172903123,21740.5403219261,2965.2131060821,14.840617,21.603277171211623,17.58
Turkey,11.0,1.4,2.2451240203585505,61.97916666666667,7.01601256362047,6.899079020893464,36154.490436557,3730.82314747655,45.61439,51.55571730573625,48.57470588235295
United States,10.0,2.7,18.57922920149819,30.542807406235166,41.163033521281,15.58314840448495,75489.2664334817,12835.2954006884,41.869316,35.15141269697829,24.33
United Kingdom,28.0,6.4,31.35035969144541,40.5481370895653,102.56262098055643,24.55724727703464,52621.1790252979,4198.22032184439,64.931725,50.54692951849268,52.53
Uzbekistan,5.0,0.87,0.8910435519812119,506.17283950617286,33.00161303634118,12.100591446658434,10450.2051402852,2059.24963004498,15.95092,22.596874848822026,11.28
Vietnam,17.0,4.6,1.0909250856584634,55.36897522011437,2.079461450379208,3.9608789531032524,14415.2159532813,2585.49409663119,42.2821,55.241862771616624,45.94
