Country,EV_sales_share,EV_stock_share,EV_stock_per_1000_people,Total_public_chargers_per_1000_EVs,Slow_chargers_per_100000_people,Fast_chargers_per_100000_people,GDP_per_capita_PPP,Electric_power_consumption,Low_carbon_electricity_share,Renewable_installed_capacity_share,Renewable_generation_share
Australia,-0.2802250203837708,-0.4570899452640614,-0.5506329053101825,-0.652114029755621,-0.731272945293268,-0.5725201479541858,0.6910888932646633,0.41532361563875936,-0.8719438804829122,0.02762002671827863,-0.38858580426348205
Austria,0.32621708040513925,0.1512072751216766,-0.14783346367418834,0.04786692794452248,0.11236148396237687,0.09334555644798916,0.851588259124609,0.14711452958071236,1.0033483450315337,0.6689733703547596,1.458871610738841
Belgium,1.373707981767802,1.170999674003649,0.41887344152581285,0.15754685617940395,1.5730751701008288,-0.4795109059971368,0.8313056104289387,0.034653203079115964,0.6411461249806855,0.22402084106652664,-0.40602164733679713
Brazil,-0.6440902808571167,-0.6717830818707924,-0.7662748449954314,-0.31880709853942824,-0.7491673777584247,-0.7448875899267097,-1.1815796017144677,-0.5333727504786242,1.1215946706688225,1.461590437790019,1.4703718476595378
Bulgaria,-0.7212738209575235,-0.31396118752624064,0.009424779050983777,-0.23417512914849464,-0.0517770082032751,0.08924226480550959,-0.5104325012343163,-0.2103164846878448,0.449665935463769,-0.41967360817118715,-0.6786885549726822
Canada,-0.059700620096894405,-0.04559476676782682,-0.3428672630991106,-0.5093959703920852,-0.5279015038010124,-0.5523474001379279,0.5253812310804481,1.0191071026163998,0.6906123707135112,0.8601773631337899,0.6545969770591147
Chile,-0.8811540111655088,-0.7505038986265938,-0.7756203285082691,0.6009594614762912,-0.7475806176621216,-0.7105134304810824,-0.6964823128455118,-0.34942528352421137,0.40999127554044595,0.5565253273764342,0.7963095739528674
China,1.6493634821263974,1.170999674003649,-0.2725063437251439,0.08136531999184761,-0.25039365311602463,0.644101316219974,-0.9884120033346482,-0.04639092066578135,-0.7587043862011442,0.11467186772387755,-0.5314113273108505
Colombia,-0.5889591807853977,-0.6556810966252876,-0.7763236316866037,-0.5030055823666135,-0.7638669133608572,-0.7455757304706554,-1.235714422081168,-0.7471413892161689,0.09105005388478096,1.2004356091022044,0.8693917247069753
Costa Rica,-0.1699628202403326,-0.4570899452640614,-0.6942934287719159,-0.2998024962351675,-0.6807085047441815,-0.7077225832688345,-0.8443251540489712,-0.6441104699901212,1.5051039173295409,1.6804107403852453,1.9044130475697223
Croatia,-0.7267869309646954,-0.31396118752624064,0.5404659093391116,-0.23417512914849464,0.4273012702223431,0.6471559424168694,-0.11390929050942271,-0.3338311260692505,0.534873143135893,0.8763456241951946,0.895730977009217
Cyprus,-0.33535612045548985,-0.31396118752624064,2.993020743458831,-0.23417512914849464,2.639871409633201,3.223818669661446,0.33783429169372003,-0.4243524434695019,-1.2778119483835904,-0.7164654434701441,-0.9109191456938578
Czech Republic,-0.6220378408284291,-0.31396118752624064,-0.3169053221848722,-0.23417512914849464,-0.34617541574980026,-0.2536012863088852,0.12262716156810181,-0.13754046308960943,-0.043043880367827754,-1.205268480563268,-1.117923410266407
Denmark,2.0904122827001506,2.244465357037304,0.8564929470994032,-0.19442836267321303,0.9730244550829587,0.5646371405598474,1.2036826477409608,-0.09687617659592242,1.1120923311324324,0.6589031654324331,1.5230503522640217
Estonia,-0.44561832059892803,-0.31396118752624064,2.9542876572448495,-0.23417512914849464,2.6049283907159335,3.183125553173171,-0.1894363430224346,-0.21919279120563104,-0.11393799891614906,0.2513363668196564,0.5484980170810696
Finland,1.7596256822698355,0.6879401166385043,0.20013185634503813,-0.2806707896350123,0.0533609909810481,0.21168139515888695,0.49849345961030594,1.1226556391552063,1.3378837135854407,0.23494079572137017,0.30142841097834944
France,0.32621708040513925,-0.009812577333371613,-0.24218390312517088,-0.0654116613286711,-0.09518706796848582,-0.17596033335183844,0.43751094028360177,-0.05717274725532747,1.3213876198855037,-0.39998593593183707,-0.7603031395711785
Germany,0.05056158004654378,0.36590041172840765,0.005411549714350463,-0.3939177644688752,-0.2162865416142241,-0.205114221119436,0.7947644064959969,-0.10482297259845597,-0.007922108574343315,0.5184055697076685,0.3121866971299694
Greece,-0.33535612045548985,-0.5823276082846545,-0.6954766052632859,0.3574165304550435,-0.585497526109407,-0.6305111300286967,-0.3605904114718654,-0.3053767199810441,-0.3530508423141538,0.4785122844976746,-0.03838504125902576
Hungary,-0.33535612045548985,-0.31396118752624064,-0.2507651644184646,-0.23417512914849464,-0.28650713186313176,-0.18411420413649146,-0.2125954991432212,-0.2875500260240928,0.5416520433052148,0.022525424116999197,-0.5762993488400234
Iceland,1.3185768816960828,2.4233763042095804,2.1404639846833104,-0.3326047250824363,1.326661562899928,2.233846613321574,1.0138326943141514,5.939266565966145,1.508437087400356,2.4245532418082085,1.9070098752614928
India,-0.8811540111655088,-0.711143490248693,-0.7842921262618746,1.9789496156720747,-0.7585148513575932,-0.7246947073372483,-1.6346102110352558,-0.7992217943243367,-1.3332906594913223,-0.6581728467085558,-1.0570834472020738
Indonesia,-0.5944722907925696,-0.6914632860597427,-0.7819152218565183,-0.4788797777148787,-0.769740903898494,-0.7384094927038952,-1.4202917310066525,-0.7620764502825078,-1.4947681019529253,-1.899490304829296,-1.1542789979511918
Ireland,0.3813481804768583,-0.31396118752624064,0.16392225268299418,-0.23417512914849464,0.08760274878197305,0.2515578535225857,3.3967338948819408,-0.07816595257293088,-0.4521937147045255,0.0030891262241300173,-0.061756490484958855
Israel,0.16082378018998195,0.2585538434250422,-0.2996927279059083,-0.4910552752440906,-0.519425327575395,-0.4287244493315389,0.09383323488905758,0.04982233068776368,-1.6518242818545303,-1.319529767790475,-1.4124778655900707
Italy,-0.5613936307495381,-0.5286543241329718,-0.5704682393313799,0.05458460343165445,-0.4501215512269568,-0.5195586782124744,0.36682938196100046,-0.24185910140793185,-0.3184843911002816,-0.08296742528103472,0.04693929718485678
Japan,-0.8425622411153054,-0.6181097977191097,-0.679641159785706,-0.36191293649483414,-0.6962811734739068,-0.6494502564397693,0.03708329171934513,0.09542712618377659,-1.010811423180246,-0.790871389172328,-0.8701118533946096
Jordan,-0.33535612045548985,-0.31396118752624064,-0.3433133446584669,-0.8195579541436964,-0.7469597793844076,-0.7292529748579479,-1.6483283817826442,-0.7039179259120326,-1.275091222189828,-0.7466966205687037,-0.9083223180020874
South Korea,-0.48972320065630337,-0.2960700928090131,-0.5183747310330765,4.946285663841307,1.9892972064622731,0.3652808777105004,0.4500220958109359,0.6337730008045117,-0.6954316081336301,-1.5212638098331217,-1.442526871737699
Latvia,-0.33535612045548985,-0.31396118752624064,1.9641097033178039,-0.23417512914849464,1.711640239485559,2.142841115194903,-0.35426136091658766,-0.43478110316686425,0.5353508816247581,0.7378591686210372,0.8541817339408916
Lithuania,-0.33535612045548985,-0.31396118752624064,0.9902049231336382,-0.23417512914849464,0.8330329173220968,1.1196533307364345,0.08584184661703617,-0.3475008615631459,0.9329186190925729,0.5326224984713254,1.5608898414869612
Malaysia,-0.7984573610579303,-0.7075652713052476,-0.750594544378435,-0.5591220232940282,-0.7633120151603543,-0.7035272928107368,-0.5152831728763695,-0.2493230989838807,-1.4112877557610053,-1.3641582689094673,-1.0741483148908502
Mexico,-0.875640901158337,-0.7433474607397028,-0.7767348389033254,-0.6064577508880629,-0.7663005976815684,-0.7460154405440007,-1.0716072806728238,-0.5911583869226091,-1.2567300784936069,-0.8697514950232416,-1.0945519610404741
Netherlands,1.6493634821263974,1.170999674003649,0.37608165470987276,0.887496708002223,3.091171713176171,-0.20317725637835204,1.1607300583102353,-0.06574720495983914,-0.19066423014354159,0.4011083174914419,0.16528044485267618
New Zealand,-0.39048722052720897,-0.20661461922287516,-0.3313015018302927,-0.7378486366454667,-0.7461951657040945,-0.49325939280893266,0.18493193985152767,0.1606137044801968,0.9944176051145913,1.3535163232601102,1.3880153122919643
Norway,4.075131885282038,4.928129564621442,2.8920826486024045,-0.5603377189404821,0.47612228913877774,2.1123683963787587,2.1099884133807727,2.370373340168766,1.4573293351529504,2.192153484318016,1.8851223275737141
Poland,-0.6826820509073201,-0.6002187030018821,-0.7181933764660295,-0.15268777196262737,-0.7055467085029107,-0.6477367074874065,-0.006858357248713799,-0.34995988302570524,-1.0160285987959832,-0.16916548650624866,-0.6961243980459974
Portugal,0.8223969810506111,-0.04559476676782682,-0.30860141682472525,-0.3578155474826733,-0.435289771800294,-0.3126640161789072,-0.14302296030853062,-0.2197100717823879,0.9654889447078814,0.5455553954055059,1.4384679645892167
Romania,-0.6385771708499449,-0.31396118752624064,-0.518278925317829,-0.23417512914849464,-0.5278444308352358,-0.4651651014069755,-0.22102247783212428,-0.6014147009628411,0.3059914562874524,0.7427927061316667,0.12929583255243018
Russia,-0.8370491311081336,-0.779845293962847,-0.7815828330971825,1.4386347939214115,-0.7578409879113515,-0.699662805112526,-0.16571021224343227,0.060941778606385597,-0.8404608774021995,-1.6706998421439305,-1.0737773395063115
Slovakia,-0.7323000409718673,-0.31396118752624064,0.1593094124654232,-0.23417512914849464,0.08344127912540025,0.24671158738003246,-0.22954223122248935,-0.3069771542350413,0.9880295485593373,-0.9495701144781674,-0.916483776461937
